Indicators,"Exceeds 
expectations",Meets expectations,"Approaches 
expectations",Below expectations
"Working out area of  
triangles in   cm2","Works out area 
of  triangles in  cm2  
correctly and with 
ease","Works out area 
of  triangles in  cm2  
correctly","Inconsistently works 
out area of triangles 
in   cm2","Little evidence in 
working out area of 
triangles in   cm2"
"Working out area of 
combined  shapes","Works out area of 
combined shapes 
correctly and with 
ease","Works  out area of 
combined shapes  
correctly","Inconsistently works 
out area of combined 
shapes","Little evidence in 
working out area of 
combined  shapes"
"Using IT devices 
for learning more 
on area","Uses IT devices for 
learning more on area 
efficiently and with 
ease","Uses IT devices for 
learning more on 
area efficiently","Inconsistently use IT 
devices for learning 
more on area","Little evidence in 
using IT devices for 
learning more on 
area"
