Indicators,"Exceeds 
Expectations",Meets Expectations,"Approaches 
Expectations","Below 
Expectations"
"Forming 
inequalities in  one 
unknown","Forms inequalities 
in  one unknown 
accurately and with 
ease","Forms inequalities 
in  one unknown 
accurately","Inconsistently forms 
inequalities in  one 
unknown","Little evidence in 
forming inequalities 
in  one unknown"
"Simplifying 
inequalities in  one 
unknown","Simplifies  
inequalities in one 
unknown accurately 
and with ease","Simplifies 
inequalities in one 
unknown accurately","Inconsistently 
simplifies inequalities 
in  one unknown","Little evidence 
in simplifying 
inequalities in one 
unknown"
"Using IT devices  
to simplify 
inequalities","Uses  IT devices  to 
simplify inequalities 
efficiently and with 
ease","Uses  IT devices to 
simplify inequalities 
efficiently","Inconsistently uses IT 
devices to simplify 
inequalities","Little evidence in 
using  IT devices to 
simplify inequalities"
