Indicators,"Exceeds 
Expectations",Meets Expectations,"Approaches 
Expectations","Below 
Expectations"
"Constructing  
parallel lines","Constructs parallel 
lines accurately and 
with ease","Constructs  parallel 
lines accurately","Inconsistently 
constructs parallel 
lines","Little evidence in  
constructing parallel 
lines"
"Bisecting 
lines through 
construction","Bisects  lines 
through construction 
accurately and with 
ease","Bisects lines 
through construction 
accurately","Inconsistently 
bisects lines through 
construction","Little evidence 
in  bisecting 
lines through 
construction"
"Constructing 
perpendicular lines","Constructs 
perpendicular lines 
accurately and with 
ease","Constructs 
perpendicular lines 
accurately","Inconsistently 
constructs 
perpendicular lines","Little evidence 
in  constructing 
perpendicular lines"
"Using IT devices 
for more learning 
on lines","Uses  IT devices 
for more learning on 
lines  efficiently and 
with ease","Uses  IT devices for 
more learning on 
lines  efficiently","Inconsistently uses 
IT devices for more 
learning on lines","Little evidence in  
using IT devices for 
more learning on 
lines"
