Indicators,"Exceeds 
Expectations",Meets Expectations,"Approaches 
Expectations","Below 
Expectations"
"Identifying angles 
on a straight line","Identifies  angles 
on a straight line 
accurately and with 
ease","Identifies angles 
on a straight line 
accurately","Inconsistently 
identifies angles on a 
straight line","Little evidence in  
identifying angles 
on a straight line"
"Measuring  angles 
in degrees","Measures  angles in 
degrees accurately 
and with ease","Measures  angles in 
degrees accurately","Inconsistently 
measures  angles in 
degrees","Little evidence in  
measuring  angles in 
degrees"
"Determining the 
sum of angles in a 
triangle","Determines  the sum 
of angles in a triangle 
accurately and with 
ease","Determines  the 
sum of angles in a 
triangle accurately","Inconsistently 
determines  the sum 
of angles in a triangle","Little evidence in  
determining  the 
sum of angles in a 
triangle"
"Using IT devices 
for learning more 
on angles","Uses  IT devices for 
learning more on 
angles efficiently and 
with ease","Uses  IT devices for 
learning more on 
angles  efficiently","Inconsistently use IT 
devices for learning 
more on angles","Little evidence in  
using IT devices for 
learning more on 
angles"
