Indicators,"Exceeds 
Expectations",Meets Expectations,"Approaches 
Expectations","Below 
Expectations"
"Dividing up to a 
4-digit number 
by up to a 3-digit 
number","Divides up to a 
4-digit number by up 
to a 3-digit number 
correctly and with 
ease","Divides up to a 
4-digit number by up 
to a 3-digit number 
correctly","Inconsistently divides 
up to a 4-digit 
number by up to a 
3-digit number","Little evidence 
in dividing up to 
a 4-digit number 
by up to a 3-digit 
number"
"Estimating 
quotients by 
rounding off 
numbers to the 
nearest ten","Estimates quotients 
by rounding off 
numbers to the 
nearest ten correctly 
and with ease","Estimates quotients 
by rounding off 
numbers to the 
nearest ten correctly","Inconsistently 
estimates quotients 
by rounding off 
numbers to the 
nearest ten","Little evidence in 
estimating quotients 
by rounding off 
numbers to the 
nearest ten"
"Performing 
combined 
operations 
involving addition, 
subtraction, 
multiplication and 
division","Performs combined 
operations involving 
addition, subtraction, 
multiplication and 
division correctly and 
with ease","Performs combined 
operations involving 
addition, subtraction, 
multiplication and 
division correctly","Inconsistently 
performs combined 
operations involving 
addition, subtraction, 
multiplication and 
division","Little evidence 
in performing 
combined 
operations 
involving addition, 
subtraction, 
multiplication and 
division"
"Using IT devices 
for learning more 
on division of 
whole numbers","Uses IT devices for 
learning more on 
division of whole 
numbers efficiently 
and with ease","Uses IT devices for 
learning more on 
division of whole 
numbers efficiently","Inconsistently uses IT 
devices for learning 
more on division of 
whole numbers","Little evidence in 
using IT devices for 
learning more on 
division of whole 
numbers"
