Indicators,"Exceeds 
Expectations",Meets Expectations,"Approaches 
Expectations","Below 
Expectations"
"Multiplying up to a 
4-digit number by a 
2-digit number","Correctly and 
consistently 
multiplies up to a 
4-digit number by a 
2- digit number","Correctly multiplies 
up to a 4-digit 
number by a 2- digit 
number","Inconsistently 
multiplies up to a 
4-digit number by a 
2- digit number","Little evidence in 
multiplying up to a 
4-digit number by a 
2- digit number"
"Estimating products 
by rounding off 
factors to the 
nearest ten","Estimates products by 
rounding off factors 
to the nearest ten 
correctly and with 
ease","Correctly estimates 
products by rounding 
off factors to the 
nearest ten","Inconsistently 
estimates products by 
rounding off factors 
to the nearest ten","Little evidence in 
estimating products 
by rounding off 
numbers to the 
nearest ten"
"Making patterns 
involving 
multiplication 
of numbers not 
exceeding 10,000","Makes patterns 
involving 
multiplication 
of numbers not 
exceeding 10,000 
correctly and with 
ease","Correctly makes 
patterns involving 
multiplication 
of numbers not 
exceeding 10,000","Inconsistently makes 
patterns involving 
multiplication 
of numbers not 
exceeding 10,000","Little evidence 
in  making 
patterns involving 
multiplication 
of numbers not 
exceeding 10,000"
"Using IT devices 
for learning more 
on multiplication","Uses IT devices 
for learning more 
on multiplication 
efficiently and with 
ease","Uses IT devices 
for learning more 
on multiplication 
efficiently","Inconsistently 
uses IT devices for 
learning more on 
multiplication","Little evidence in 
using IT devices for 
learning more on 
multiplication"
