Indicators,"Exceeds 
Expectations",Meets Expectations,"Approaches 
Expectations","Below 
Expectations"
"Identifying the 
relationship among 
cm3, millilitres and 
litres","Identifies the 
relationship among 
cm3, millilitres and 
litres correctly and  
with ease","Identifies the 
relationship among 
cm3, millilitres and 
litres correctly","Inconsistently 
identifies the 
relationship among 
cm3, millilitres and 
litres","Little evidence 
in identifying the 
relationship among 
cm3, millilitres and 
litres"
"Converting litres to 
millilitres","Converts litres to 
millilitres  correctly 
and with ease","Converts  litres to 
millilitres  correctly","Inconsistently 
converts litres to 
millilitres","Little evidence in 
converting litres to 
millilitres"
"Converting 
millilitres to litres","Converts millilitres 
to litres correctly and 
with ease","Converts millilitres 
to litres correctly","Inconsistently 
converts millilitres to 
litres","Little evidence 
in converting  
millilitres to litres"
"Using IT devices 
for learning more 
on capacity","Uses IT devices for 
learning more on 
capacity efficiently 
and with ease","Uses IT devices for 
learning more on 
capacity efficiently","Inconsistently uses IT 
devices for learning 
more on capacity","Little evidence in 
using IT devices for 
learning more on 
capacity"
