Indicators,"Exceeds 
Expectations",Meets Expectations,"Approaches 
Expectations","Below 
Expectations"
"Identifying the 
tonne as a unit for 
measuring mass","Identifies the tonne as 
a unit for measuring 
mass correctly and 
with ease","Identifies the 
tonne as a unit for 
measuring mass 
correctly","Inconsistently 
identifies the tonne as 
a unit for measuring 
mass","Little evidence 
in identifying the 
tonne as a unit for 
measuring mass"
"Identifying items 
measured in tonnes","Identifies  items 
measured in tonnes 
correctly and with 
ease","Identifies  items 
measured in tonnes 
correctly","Inconsistently 
identifies items 
measured in tonnes","Little evidence in 
identifying items 
measured in tonnes"
"Identifying the 
relationship 
between the 
kilogram and the 
tonne","Identifies the 
relationship between 
the kilogram and the 
tonne  correctly and 
with ease","Identifies the 
relationship between 
the kilogram and the 
tonne  correctly","Inconsistently 
identifies the 
relationship between 
the kilogram and the 
tonne","Little evidence 
in identifying 
the relationship 
between the 
kilogram and the 
tonne"
"Estimating mass in 
tonnes","Estimates  mass in 
tonnes correctly and 
with ease","Estimates mass in 
tonnes correctly","Inconsistently 
estimates mass in 
tonnes","Little evidence in 
estimating mass in 
tonnes"
"Converting tonnes 
to kilograms and 
kilograms to tonnes","Converts tonnes 
to kilograms and 
kilograms to tonnes 
correctly and with 
ease.","Converts tonnes 
to kilograms and 
kilograms to tonnes 
correctly","Inconsistently 
converts tonnes 
to kilograms and 
kilograms to tonnes","Little evidence in 
converting tonnes 
to kilograms and 
kilograms to tonnes"
"Adding  tonnes and 
kilograms","Adds  tonnes and 
kilograms correctly 
and with ease","Adds  tonnes and 
kilograms correctly","Inconsistently adds 
tonnes and kilograms","Little evidence in 
adding tonnes and 
kilograms"
"Subtracting    
tonnes and 
kilograms","Subtracts tonnes and 
kilograms correctly 
and with ease","Subtracts tonnes and 
kilograms correctly","Inconsistently 
subtracts tonnes and 
kilograms","Little evidence in 
subtracting tonnes 
and kilograms"
"Multiplying tonnes  
and kilograms by 
whole numbers","Multiplies  tonnes  
and kilograms by 
whole numbers 
correctly and with 
ease","Multiplies  tonnes  
and kilograms by 
whole numbers 
correctly","Inconsistently 
multiplies  tonnes  
and kilograms by 
whole numbers","Little evidence in 
multiplying  tonnes  
and kilograms by 
whole numbers"
"Dividing tonnes  
and kilograms by 
whole numbers","Divides   tonnes  and 
kilograms by whole 
numbers correctly 
and with ease","Divides   tonnes  and 
kilograms by whole 
numbers correctly","Inconsistently 
divides   tonnes  and 
kilograms by whole 
numbers","Little evidence in 
dividing   tonnes  
and kilograms by 
whole numbers"
"Using IT devices 
for learning more 
on mass","Uses IT devices for 
learning more on 
mass efficiently and 
with ease","Uses IT devices for 
learning more on 
mass efficiently","Inconsistently uses IT 
devices for learning 
more on mass","Little evidence in 
using IT devices for 
learning more on 
mass"
