No.,Indicators,Exceeds  Expectations,Meets  Expectations,"Approaches  
Expectations",Below Expectations
1,"Identify  horizontal 
and vertical lines","Identifies  horizontal and 
vertical lines correctly 
and with ease","Identifies  horizontal 
and vertical lines 
correctly","Inconsistently identifies  
horizontal and vertical 
lines","Little evidence in  
identifying  
horizontal and 
vertical lines"
2,"Draw horizontal and 
vertical lines","Draws horizontal and 
vertical lines correctly 
and with ease","Draws horizontal and 
vertical lines 
correctly","Inconsistently draws 
horizontal and vertical 
lines","Little evidence in  
drawing horizontal 
and vertical lines"
3,"Identify  perpendicular 
lines","Identifies perpendicular 
lines 
correctly and with ease","Identifies 
perpendicular lines 
correctly","Inconsistently identifies  
perpendicular lines","Little evidence in  
identifying 
perpendicular lines"
4,"Draw perpendicular 
lines","Draws perpendicular 
lines correctly and with 
ease","Draws perpendicular 
lines correctly","Inconsistently draws 
perpendicular lines","Little evidence in  
drawing 
perpendicular lines"
5,Identify parallel lines,"Identifies parallel lines 
correctly and with ease","Identifies parallel 
lines correctly","Inconsistently identifies  
parallel lines","Little evidence in  
identifying parallel 
lines"
6,Draw parallel lines,"Draws parallel lines 
correctly and with ease","Draws parallel lines 
correctly and with 
ease","Inconsistently draws 
parallel lines","Little evidence in  
drawing  parallel 
lines"
7,"Use IT devices to 
learn more about lines","Uses IT devices to learn 
more about lines 
efficiently and with ease","Uses IT devices to 
learn more about 
lines efficiently","Inconsistently uses IT 
devices to learn more 
about lines","Little evidence in 
using IT devices to 
learn more about 
lines"
