No.,Indicators,Exceeds  Expectations,Meets  Expectations,"Approaches  
Expectations",Below Expectations
1,"Multiply  up to a 3-
 
digit number by up 
to  a 2-digit number","Multiplies more than 3-
digit number by up to  a 
2-digit number correctly","Multiplies of up to a 
3-digit number by up 
to  a 2-digit number 
correctly","Inconsistently multiplies  
up to a 3-digit number by 
up to  a 2-digit number","Little evidence in 
multiplying up to a 3-
digit number by up to  a 
2-digit number"
2,"Estimate product by 
 
rounding  off factors  
to the nearest ten","Estimates product by 
rounding off factors   to 
the nearest ten correctly 
and with ease","Estimates product by 
rounding off factors  
to the nearest  ten 
correctly","Inconsistently estimates 
product by rounding off 
factors  to the nearest ten","Little evidence in 
estimating product by 
rounding off factors  to 
the nearest ten"
3,"Make patterns 
 
involving 
multiplication of 
numbers with product not 
exceeding 1000","Makes patterns involving 
multiplication of numbers 
with product not 
exceeding 1000 innovatively and with 
ease","Makes patterns 
involving 
multiplication of 
numbers with product not exceeding 1000 
innovatively","Inconsistently makes 
patterns involving 
multiplication of numbers 
with product not 
exceeding 1000","Little evidence in 
making patterns 
involving 
multiplication of numbers with product 
not exceeding 1000"
4,"Use IT devices for 
 
learning more on 
multiplication","Uses IT devices for 
learning more on 
multiplication efficiently 
and with ease","Uses IT devices for 
learning more on 
multiplication 
efficiently","Inconsistently uses IT 
devices for learning more 
on multiplication","Little evidence in using 
IT devices for learning 
more on multiplication"
