No.,Indicators,Exceeds  Expectations,Meets  Expectations,"Approaches  
Expectations",Below Expectations
1,"Identify the millilitre as 
unit of measuring 
capacity","Identifies the millilitre as 
unit of measuring 
capacity accurately and 
with ease","Identifies the millilitre 
as unit of measuring 
capacity accurately","Inconsistently identifies 
the millilitre as unit of 
measuring capacity","Little evidence in 
identifying the 
millilitre as unit of 
measuring capacity"
2,"Measure capacity in 
millilitres","Measures capacity in 
millilitres accurately and 
with ease","Measures capacity in 
millilitres accurately","Inconsistently measure 
capacity in millilitres","Little evidence in 
measuring capacity 
in millilitres"
3,"Estimate and measure 
capacity in multiples of 
5 millilitres","Estimates and measures 
capacity in multiples of 5 
millilitres accurately and 
with ease","Estimates and measures 
capacity in multiples of 
5 millilitres accurately","Inconsistently estimates 
and measures capacity in 
multiples of 5 millilitres","Little evidence in 
estimating and 
measuring capacity 
in multiples of 5 
millilitres"
4,"Identify the 
relationship between 
litres and millilitres","Identifies the relationship 
between litres and 
millilitres accurately and 
with ease","Identifies the 
relationship between 
litres and millilitres 
accurately","Inconsistently identifies 
the relationship between 
litres and millilitres","Little evidence in 
identifying the 
relationship between 
litres and millilitres"
5,"Convert litres to 
millilitres and 
millilitres to litres","Converts litres to 
millilitres and millilitres 
to litres accurately and 
with ease","Converts litres to 
millilitres and 
millilitres to litres 
accurately","Inconsistently converts 
litres to millilitres and 
millilitres to litres","Little evidence in 
converting litres to 
millilitres and 
millilitres to litres"
6,"Add  of  litres  and 
millilitres","Adds   litres  and 
millilitres accurately and 
with ease","Adds   litres  and 
millilitres accurately","Inconsistently  adds  
litres  and millilitres","Little evidence in  
adding  litres  and 
millilitres"
7,"Subtract  litres  and 
millilitres","Subtracts  litres  and 
millilitres accurately and 
with ease","Subtracts  litres  and 
millilitres accurately","Inconsistently  subtracts 
litres  and millilitres","Little evidence in  
subtracting litres  
and millilitres"
8,"Multiply  litres  and 
millilitres by whole 
numbers","Multiplies litres  and 
millilitres by whole 
numbers accurately and 
with ease","Multiplication   of litres  
and millilitres by whole 
numbers accurately","Inconsistently  multiplies  
of litres  and millilitres 
by whole numbers","Little evidence in  
multiplying litres  
and millilitres by 
whole numbers"
9,"Divide  litres  and 
millilitres by whole 
numbers","Divides  litres  and 
millilitres by whole 
numbers accurately and 
with ease","Divides   litres  and 
millilitres by whole 
numbers accurately","Inconsistently  divides  
litres  and millilitres by 
whole numbers","Little evidence in 
dividing  litres  and 
millilitres by whole 
numbers"
10,"Use IT devices for  
learning more on 
capacity","Uses IT devices for  
learning more on 
capacity  efficiently and 
with ease","Uses IT devices for  
learning more on 
capacity  efficiently","Inconsistently uses IT 
devices for  learning 
more on capacity","Little evidence in 
using IT devices for  
learning more on 
capacity"
