Indicators,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations
"Subtract up to 4-digit 
numbers without 
regrouping.","Subtracts up to 4-digit 
numbers without 
regrouping and beyond 
correctly.","Subtracts up to 4-digit 
numbers without 
regrouping correctly.","Inconsistently subtracts up 
to 4-digit numbers without 
regrouping.","Little evidence in subtracting up 
to 4-digit numbers without 
regrouping."
"Subtract up to 4-digit 
numbers with regrouping.","Subtracts up to 4-digit 
numbers with regrouping 
and beyond correctly.","Subtracts up to 4-digit 
numbers with regrouping 
correctly.","Inconsistently subtracts up 
to 4-digit numbers with 
regrouping.","Little evidence in subtracting up 
to 4-digit numbers with 
regrouping."
"Estimate difference by 
rounding off numbers to 
the nearest ten.","Estimates difference by 
rounding off numbers to 
the nearest ten and beyond 
correctly.","Estimates difference by 
rounding off numbers to 
the nearest ten correctly.","Inconsistently estimates 
difference by rounding off 
numbers to the nearest ten.","Little evidence in estimating 
difference by rounding off 
numbers to the nearest ten."
"Create patterns involving 
subtraction from up to 
10,000.","Creates patterns involving 
subtraction from up to 
10,000 and beyond 
correctly.","Creates patterns involving 
subtraction from up to 
10,000 correctly.","Inconsistently creates 
patterns involving 
subtraction from up to 
10,000.","Little evidence in creating 
patterns involving subtraction 
from up to 10,000."
"Use IT for learning and 
enjoyment.","Uses IT devices for 
learning and enjoyment fast 
and efficiently.","Uses IT devices for 
learning and enjoyment 
efficiently.","Inconsistently uses IT 
devices for learning and 
enjoyment.","Little evidence in using IT 
devices for learning and 
enjoyment."
