Indicators,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations
"Add up to two 4-digit 
numbers with single 
regrouping","Adds up to two 4-digit 
numbers with single 
regrouping and beyond 
correctly.","Adds up to two 4-digit 
numbers with single 
regrouping correctly.","Inconsistently Adds up to two 
4-digit numbers with single 
regrouping.","Little evidence in adding 
up to two 4-digit numbers 
with single regrouping."
"Add up to two 4-digit 
numbers with double 
regrouping.","Adds up to two 4-digit 
numbers with double 
regrouping and beyond 
correctly.","Adds up to two 4-digit 
numbers with double 
regrouping correctly.","Inconsistently adds up to two 
4-digit numbers with double 
regrouping.","Little evidence in adding 
up to two 4-digit numbers 
with double regrouping."
"Estimate answers by 
rounding off.","Estimates answers by 
rounding off numbers to the 
nearest ten and beyond 
correctly.","Estimates answers by  
rounding off correctly","Inconsistently estimates 
answers by rounding off.","Little evidence in 
estimating answers by 
rounding off."
"Create patterns involving 
addition up to sum of 
10,000.","Creates patterns involving 
addition up to sum of 10,000 
and beyond correctly.","Creates patterns involving 
addition up to sum of 10,000 
correctly.","Inconsistently creates patterns 
involving addition up to sum 
of 10,000.","Little evidence in creating 
patterns involving addition 
up to sum of 10,000."
"Use IT devices for learning 
and enjoyment.","Uses IT devices for learning 
and enjoyment fast and 
correctly.","Uses IT devices for learning 
and enjoyment correctly.","Inconsistently uses IT devices 
for learning and enjoyment 
uses.","Little evidence in using IT 
devices for learning and 
enjoyment."
