Indicators,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations
"Identify a tenth and a 
hundredth.","Identifies a tenth and a 
hundredth and beyond 
correctly.","Identifies a tenth and a 
hundredth correctly.","Inconsistently identifies a 
tenth and a hundredth.","Little evidence in identifying 
a tenth and a hundredth."
"Represent decimals using 
decimal notation.","Represents decimals using 
decimal notation correctly 
and with ease.","Represents decimals using 
decimal notation correctly.","Inconsistently represents 
decimals using decimal 
notation.","Little evidence  in 
representing decimals using 
decimal notation."
"Identify place value of 
decimals up to hundredths.","Identifies place value of 
decimals up to hundredths 
and beyond correctly.","Identifies place value of 
decimals up to hundredths 
correctly.","Inconsistently identifies 
place value of decimals up 
to hundredths.","Little evidence in identifying 
place value of decimals up 
to hundredths."
"Order decimals up to 
hundredths.","Orders decimals to 
hundredths and beyond 
correctly.","Orders decimals up to 
hundredths correctly.","Inconsistently orders 
decimals up to hundredths.","Little evidence in ordering 
decimals up to hundredths."
"Use IT devices for learning 
and leisure.","Uses IT devices for learning 
and leisure fast and 
efficiently.","Uses IT devices for learning 
and leisure efficiently.","Inconsistently uses IT 
devices for learning and 
leisure.","Little evidence in using IT 
devices for learning and 
leisure."
